date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:11	202495/202495	---MCZ	200	added ('OK')	text/html	etag:%228154b034c72813a278d939582758b034-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/indexb97d.html	(from )
11:27:12	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1674928407-ssl-df	https://bcnenergia.netlify.app/robots.txt		(from )
11:27:15	95146/95146	---MCZ	200	added ('OK')	application/javascript	etag:%2235aa17c9d3b4e2453dcf0c8dad5a41b7-ssl-df%22	https://bcnenergia.netlify.app/cdn-cookieyes.com/client_data/268eb0c34b3dd4018b116333/script.js	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/cdn-cookieyes.com/client_data/268eb0c34b3dd4018b116333/script.js	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:17	215321/215321	---MCZ	200	added ('OK')	text/html	etag:%22010a2fbeb778e31b94fb293724a85f19-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/index.html	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/index.html	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:18	1066/1066	---M-Z	200	added ('OK')	text/html	etag:%2249d9c6a0e7eb0f864e47df5e55472678-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/feed/index.html	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/feed/index.html	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:19	749/749	---M--	200	added ('OK')	text/html	etag:%2247d62a246dc6b49cb89ef708c749b9f1-ssl%22	https://bcnenergia.netlify.app/bcnenergia.com/comments/feed/index.html	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/comments/feed/index.html	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:21	94892/94892	---MCZ	200	added ('OK')	text/css	etag:%22e82ed57772d6327f41cc40e66890a78d-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-includes/css/dist/block-library/style.min6a4d.css?ver=6.1.1	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-includes/css/dist/block-library/style.min6a4d6a4d.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:22	217/217	---M--	200	added ('OK')	text/css	etag:%228de2755ab83c59090ce562637b8c375b-ssl%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-includes/css/classic-themes.min68b3.css?ver=1	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-includes/css/classic-themes.min68b368b3.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:26	19566/19566	---MCZ	200	added ('OK')	text/css	etag:%222b5ed79d2bdbfc7b5c4e5f1cd0ac2e33-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/themes/generatepress/assets/css/main.mine1e3.css?ver=3.2.4	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/themes/generatepress/assets/css/main.mine1e3e1e3.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:27	18402/18402	---MCZ	200	added ('OK')	text/css	etag:%228f4b74b96011de81df28e7407d6e3982-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/themes/generatepress_child/styleddeb.css?ver=1674148245	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/themes/generatepress_child/styleddebddeb.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:28	234150/234150	---MCZ	200	added ('OK')	text/css	etag:%22062f1d6dca95624595bfa5a4c03e27b2-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/plugins/jet-elements/assets/css/jet-elements91ac.css?ver=2.6.8	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/plugins/jet-elements/assets/css/jet-elements91ac91ac.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:29	17810/17810	---MCZ	200	added ('OK')	text/css	etag:%22377e50bd60c9056a0b4ef3f350f34c84-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/plugins/jet-elements/assets/css/jet-elements-skin91ac.css?ver=2.6.8	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/plugins/jet-elements/assets/css/jet-elements-skin91ac91ac.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:30	87304/87304	---MCZ	200	added ('OK')	text/css	etag:%22519458aaf1e6bb1c867d7f5ebf9c1a82-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/custom-frontend-lite.min22f6.css?ver=1671713634	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/custom-frontend-lite.min22f622f6.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:31	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22262e6782266d867c92a12f93e6f0bc44-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/post-422f6.css?ver=1671713634	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/post-422f622f6.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
11:27:32	8733/8733	---MCZ	200	added ('OK')	text/css	etag:%22902a06794c96c77d50cf68b4edd0abd6-ssl-df%22	https://bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/custom-pro-frontend-lite.min22f6.css?ver=1671713634	C:/My%20Web%20Sites/bcn/bcnenergia.netlify.app/bcnenergia.com/wp-content/uploads/elementor/css/custom-pro-frontend-lite.min22f622f6.css	(from https://bcnenergia.netlify.app/bcnenergia.com/indexb97d.html)
